frame_index,face_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2
440,373,182,102,224,143
440,374,597,61,612,83
440,375,395,62,409,80
442,376,321,59,371,117
442,377,179,99,222,149
442,378,585,61,603,83
442,379,392,64,405,81
444,380,323,60,374,121
444,381,172,105,218,160
444,382,570,61,591,88
446,383,331,55,386,120
446,384,165,110,210,161
446,385,557,65,575,87
448,386,338,41,389,106
448,387,152,112,195,160
448,388,542,69,559,90
450,389,331,35,383,103
450,390,145,111,190,164
450,391,526,72,542,92
450,392,587,86,603,106
452,393,323,49,374,114
452,394,146,112,192,167
452,395,509,73,525,93
454,396,81,117,138,209
454,397,315,55,364,117
454,398,147,121,193,177
454,399,493,72,508,91
454,400,551,88,565,106
456,401,315,50,362,111
456,402,146,128,195,184
456,403,147,85,181,125
456,404,479,70,495,90
458,405,310,41,360,104
458,406,145,128,199,179
458,407,469,69,486,90
458,408,526,85,541,105
460,409,307,35,354,94
460,410,145,119,198,170
460,411,465,70,479,90
460,412,522,85,534,101
462,413,308,31,357,97
462,414,147,116,201,168
462,415,462,68,478,92
464,416,313,36,364,103
464,417,157,117,207,171
464,418,457,70,471,90
466,419,313,40,363,107
466,420,160,113,209,172
466,421,453,69,467,89
468,422,314,38,367,105
468,423,165,105,216,169
468,424,447,67,461,87
470,425,319,28,369,93
470,426,172,96,217,154
470,427,144,54,177,112
470,428,439,66,453,85
472,429,318,20,367,85
472,430,173,96,213,148
472,431,432,65,446,83
474,432,159,94,215,168
474,433,308,25,361,95
474,434,427,65,441,85
476,435,305,37,358,107
476,436,161,100,211,170
476,437,423,64,437,85
478,438,309,44,359,109
478,439,160,98,205,158
478,440,421,64,436,84
480,441,179,86,245,171
480,442,433,65,496,150
480,443,28,50,76,108
480,444,231,68,271,123
480,445,361,86,401,131
482,446,173,83,243,168
482,447,430,65,494,151
482,448,26,50,73,108
482,449,228,65,269,124
482,450,359,84,400,129
484,451,173,85,240,169
484,452,430,65,495,149
484,453,194,87,260,170
484,454,26,52,72,108
484,455,226,64,268,122
484,456,359,83,400,129
486,457,170,82,236,167
486,458,188,91,255,170
486,459,431,63,491,148
486,460,26,51,70,106
486,461,225,65,265,122
486,462,357,83,398,128
488,463,159,81,231,166
488,464,429,62,494,146
488,465,589,85,637,155
488,466,21,48,67,105
488,467,221,63,263,121
488,468,357,81,397,128
490,469,153,76,224,166
490,470,436,61,501,145
490,471,588,84,637,155
490,472,219,61,262,119
490,473,25,48,65,103
490,474,357,81,396,126
492,475,144,78,217,165
492,476,435,58,506,146
492,477,588,85,636,153
492,478,19,47,61,102
492,479,220,63,261,119
492,480,358,79,397,125
494,481,140,76,214,166
494,482,436,60,506,144
494,483,588,84,637,154
494,484,216,63,261,121
494,485,20,48,59,102
494,486,359,78,398,125
496,487,437,59,509,146
496,488,139,79,210,164
496,489,590,85,635,153
496,490,221,63,264,120
496,491,20,47,58,103
496,492,359,78,400,125
498,493,441,55,511,144
498,494,141,78,211,164
498,495,223,61,266,119
498,496,20,46,60,103
498,497,364,78,404,125
500,498,141,78,213,166
500,499,446,58,513,144
500,500,225,63,267,121
500,501,19,48,60,102
500,502,367,77,407,124
502,503,143,77,214,164
502,504,443,57,514,142
502,505,226,61,269,118
502,506,21,46,62,101
502,507,370,78,408,123
504,508,265,98,384,260
506,509,265,100,383,257
508,510,267,95,385,253
510,511,259,86,384,257
512,512,257,86,380,255
514,513,259,91,377,249
516,514,256,87,377,252
518,515,254,82,376,251
520,516,254,86,372,244
522,517,253,77,374,243
524,518,251,77,373,246
526,519,252,76,376,244
528,520,254,79,373,242
530,521,250,77,372,246
532,522,253,80,375,246
534,523,253,79,376,246
536,524,252,76,375,245
538,525,252,76,375,245
540,526,130,42,249,201
542,527,132,45,247,197
544,528,133,47,246,196
546,529,134,50,247,196
548,530,132,47,249,199
550,531,134,49,249,197
552,532,133,49,244,195
554,533,135,48,247,195
556,534,136,50,245,195
558,535,131,44,246,193
560,536,132,46,246,194
562,537,131,47,245,194
564,538,409,35,458,101
564,539,184,103,223,152
566,540,413,36,461,101
566,541,183,103,222,153
568,542,419,37,469,102
568,543,183,102,222,153
570,544,431,42,476,105
570,545,182,103,222,153
572,546,442,52,488,115
572,547,181,103,221,153
574,548,450,58,496,117
574,549,182,102,220,151
576,550,451,60,500,119
576,551,181,101,220,151
578,552,453,60,499,119
578,553,179,100,220,152
580,554,450,59,499,118
580,555,178,100,219,151
582,556,445,47,496,114
582,557,179,100,219,153
584,558,441,38,491,100
584,559,179,99,219,154
586,560,437,36,490,103
586,561,179,99,219,154
588,562,438,37,488,102
588,563,178,100,217,151
590,564,437,39,484,103
590,565,179,101,218,152
592,566,439,38,486,100
592,567,179,102,218,152
594,568,438,39,485,100
594,569,180,102,219,154
596,570,434,36,485,103
596,571,180,100,220,153
598,572,437,39,484,101
598,573,181,99,220,151
600,574,435,39,482,98
600,575,182,98,221,151
602,576,47,128,179,284
602,577,420,65,482,146
602,578,220,104,231,121
604,579,11,103,140,285
604,580,419,83,488,170
606,581,81,114,158,216
606,582,424,80,502,175
608,583,444,63,521,161
608,584,93,122,163,218
608,585,231,108,242,125
610,586,457,69,537,170
610,587,237,107,249,125
612,588,453,84,545,203
612,589,243,109,255,127
614,590,50,129,235,400
614,591,434,69,541,214
616,592,93,114,232,329
616,593,422,47,521,179
618,594,144,110,242,234
618,595,260,236,314,309
620,596,160,111,256,241
622,597,132,93,222,219
624,598,89,70,178,197
624,599,341,112,395,189
626,600,58,81,150,212
626,601,328,113,391,196
628,602,51,85,141,214
628,603,322,111,382,196
630,604,62,76,150,203
630,605,316,114,377,195
632,606,71,73,158,197
632,607,311,114,371,196
634,608,81,80,161,196
634,609,310,118,368,195
636,610,82,77,166,200
636,611,307,118,364,196
638,612,493,48,509,68
640,613,162,170,176,185
640,614,518,142,528,155
640,615,565,142,575,154
640,616,69,149,79,159
640,617,420,136,429,147
640,618,473,135,482,147
640,619,189,108,197,119
640,620,524,115,532,125
640,621,256,110,264,118
640,622,485,111,493,120
642,623,539,137,557,160
642,624,517,141,527,155
642,625,419,136,429,148
642,626,472,134,482,146
642,627,565,142,574,153
642,628,404,109,412,119
642,629,523,115,531,124
642,630,189,108,197,118
642,631,107,119,115,128
644,632,516,140,526,154
644,633,419,136,428,149
644,634,69,148,79,158
644,635,472,134,481,146
644,636,565,142,573,154
644,637,65,94,73,103
644,638,523,114,532,124
644,639,444,108,452,117
644,640,115,146,122,156
644,641,404,108,411,117
646,642,50,148,100,203
646,643,418,135,430,149
646,644,516,141,527,154
646,645,563,140,573,153
646,646,472,133,481,145
646,647,115,146,123,156
646,648,523,114,531,124
646,649,444,108,452,117
646,650,108,119,115,128
646,651,404,107,411,117
648,652,54,145,102,202
648,653,418,135,429,148
648,654,516,140,525,153
648,655,563,141,573,154
648,656,471,134,480,144
648,657,404,107,412,117
648,658,522,114,531,123
648,659,565,90,573,100
648,660,108,117,116,126
650,661,58,148,103,200
650,662,151,115,173,141
650,663,515,139,525,153
650,664,471,133,480,144
650,665,419,134,428,145
650,666,562,140,571,152
650,667,65,93,74,103
650,668,483,110,491,120
650,669,522,114,530,123
650,670,565,91,573,100
652,671,57,148,105,205
652,672,515,140,525,153
652,673,562,140,571,152
652,674,418,134,428,145
652,675,471,133,480,144
652,676,482,110,491,120
652,677,522,114,530,123
654,678,54,149,102,200
654,679,515,139,525,152
654,680,561,140,571,152
654,681,471,133,480,144
654,682,521,113,529,123
654,683,564,90,572,100
654,684,403,108,410,116
654,685,443,107,450,116
656,686,297,69,342,127
656,687,181,229,202,255
658,688,297,67,341,124
658,689,179,225,201,254
660,690,297,66,339,121
662,691,297,66,342,124
664,692,294,63,339,122
666,693,291,61,337,121
668,694,292,64,337,124
668,695,399,196,431,242
670,696,290,61,338,125
672,697,291,61,339,124
672,698,400,196,430,239
674,699,291,58,338,121
674,700,400,197,433,244
674,701,191,229,219,260
674,702,172,222,194,253
676,703,292,59,338,122
676,704,399,198,432,242
678,705,291,58,338,123
678,706,399,197,435,249
680,707,292,60,338,123
680,708,402,200,432,242
682,709,194,52,255,140
684,710,185,46,252,142
686,711,180,45,243,136
688,712,170,46,234,144
690,713,163,48,230,143
692,714,161,47,229,140
694,715,158,46,227,144
694,716,494,8,557,93
696,717,163,47,229,145
696,718,537,27,579,85
698,719,160,51,230,146
698,720,559,22,603,83
700,721,164,51,233,147
700,722,337,155,407,245
702,723,194,78,290,203
702,724,573,-18,628,68
702,725,116,6,168,73
702,726,319,-7,365,53
702,727,199,-34,238,21
704,728,196,78,291,202
704,729,574,-13,626,66
704,730,117,4,169,73
704,731,201,-37,241,19
704,732,321,-3,363,47
706,733,203,85,293,204
706,734,574,-13,624,66
706,735,118,2,170,72
706,736,201,-43,244,18
706,737,318,-6,363,48
708,738,199,78,294,200
708,739,574,-12,624,66
708,740,119,3,171,71
708,741,313,-9,361,49
708,742,45,6,75,47
710,743,202,76,296,201
710,744,571,-11,621,64
710,745,120,6,172,72
710,746,309,-14,358,44
710,747,204,-46,248,18
710,748,46,4,77,48
712,749,198,73,297,201
712,750,569,-12,619,61
712,751,122,4,173,71
712,752,306,-16,356,43
712,753,204,-47,248,17
712,754,46,5,77,47
714,755,202,74,298,200
714,756,565,-14,617,59
714,757,121,3,173,71
714,758,303,-16,353,42
714,759,203,-48,248,17
714,760,45,3,77,47
716,761,204,80,295,199
716,762,562,-18,616,56
716,763,120,4,170,69
716,764,299,-16,350,41
718,765,198,79,290,198
718,766,560,-20,615,54
718,767,119,2,169,69
718,768,298,-12,347,42
720,769,196,75,291,200
720,770,555,-22,612,51
720,771,118,1,167,68
720,772,295,-15,346,42
722,773,192,72,289,199
722,774,555,-21,610,50
722,775,293,-20,345,41
722,776,116,4,165,69
724,777,143,67,213,158
726,778,142,67,214,163
728,779,141,66,215,163
728,780,343,141,362,167
730,781,144,68,213,162
730,782,343,141,362,167
732,783,142,66,216,163
732,784,343,141,362,167
734,785,140,63,217,163
736,786,142,64,216,161
738,787,141,64,215,156
740,788,143,62,211,152
742,789,144,63,213,155
744,790,141,64,215,157
746,791,142,68,212,160
748,792,143,68,214,163
750,793,145,75,215,168
750,794,345,144,365,169
752,795,140,76,213,171
752,796,331,216,386,305
752,797,346,144,366,169
